,Itäinen,Itäinen_Low_CI,Itäinen_High_CI
2015,107480,107480.0,107480.0
2016,108996,108996.0,108996.0
2017,110643,110643.0,110643.0
2018,111339,111339.0,111339.0
2019,111876,111876.0,111876.0
2020,112578,112578.0,112578.0
2021,113153,113153.0,113153.0
2022,113947,113947.0,113947.0
2023,114283,114283.0,114283.0
2024,114876,113398.97844653964,116353.02155346036
2025,115503,113414.17608717897,117591.82391282103
2026,116134,113575.72362553234,118692.27637446766
2027,116931,113976.95689307927,119885.04310692073
2028,117531,114228.27940223028,120833.72059776972
2029,118430,114812.05085492917,122047.94914507083
2030,119601,115693.16828846159,123508.83171153841
2031,121253,117075.35217435796,125430.64782564204
2032,122825,118393.93533961891,127256.06466038109
2033,124253,119582.2477379051,128923.7522620949
2034,125060,120161.27369990412,129958.72630009588
2035,125385,120268.44725106469,130501.55274893531
2036,125467,120141.52305403318,130792.47694596682
