,Keskinen,Keskinen_Low_CI,Keskinen_High_CI
2015,86193,86193.0,86193.0
2016,87445,87445.0,87445.0
2017,88577,88577.0,88577.0
2018,90222,90222.0,90222.0
2019,91535,91535.0,91535.0
2020,92763,92763.0,92763.0
2021,94121,94121.0,94121.0
2022,95004,95004.0,95004.0
2023,103446,103446.0,103446.0
2024,106229,102846.12999746155,109611.87000253845
2025,109316,104531.89936266503,114100.10063733497
2026,111852,105992.69728020276,117711.30271979724
2027,113443,106677.25999492312,120208.74000507688
2028,115332,107767.67271527916,122896.32728472084
2029,117102,108815.6946276132,125388.3053723868
2030,118979,110028.76725562285,127929.23274437715
2031,121187,111618.79872533007,130755.20127466993
2032,123277,113128.38999238468,133425.61000761532
2033,125689,114991.42576371894,136386.57423628107
2034,127839,116619.28948703138,139058.71051296862
2035,129875,118156.39456040553,141593.60543959448
2036,131586,119388.88874761866,143783.11125238135
