"Helsingin väestö äidinkielen mukaan 31.12.1991- sekä väestöennuste"

"Äidinkieli","Alue","Ikä","2022 Perusvaihtoehto 2012","2022 Perusvaihtoehto 2013","2022 Perusvaihtoehto 2014","2022 Perusvaihtoehto 2015","2022 Perusvaihtoehto 2016","2022 Perusvaihtoehto 2017","2022 Perusvaihtoehto 2018","2022 Perusvaihtoehto 2019","2022 Perusvaihtoehto 2020","2022 Perusvaihtoehto 2021","2022 Perusvaihtoehto 2022","2022 Perusvaihtoehto 2023","2022 Perusvaihtoehto 2024","2022 Perusvaihtoehto 2025","2022 Perusvaihtoehto 2026","2022 Perusvaihtoehto 2027","2022 Perusvaihtoehto 2028","2022 Perusvaihtoehto 2029","2022 Perusvaihtoehto 2030","2022 Perusvaihtoehto 2031","2022 Perusvaihtoehto 2032","2022 Perusvaihtoehto 2033","2022 Perusvaihtoehto 2034","2022 Perusvaihtoehto 2035","2022 Perusvaihtoehto 2036"
"Kaikki äidinkielet","091 1 Eteläinen suurpiiri","Väestö yhteensä",.,.,.,.,.,.,.,.,.,121157,122007,123055,124110,124900,125037,125863,126769,127123,127600,128465,129540,130502,131567,132410,132813
"Kaikki äidinkielet","091 101 Vironniemen peruspiiri","Väestö yhteensä",.,.,.,.,.,.,.,.,.,12794,12904,12852,12772,12672,12560,12453,12330,12200,12073,11953,11831,11705,11700,11717,11741
"Kaikki äidinkielet","091 10 Kruununhaka","Väestö yhteensä",.,.,.,.,.,.,.,.,.,7175,7170,7128,7073,7005,6927,6852,6768,6680,6594,6511,6428,6345,6263,6186,6107
"Kaikki äidinkielet","091 20 Kluuvi","Väestö yhteensä",.,.,.,.,.,.,.,.,.,687,686,682,678,673,668,662,656,649,641,633,626,617,609,600,591
"Kaikki äidinkielet","091 80 Katajanokka","Väestö yhteensä",.,.,.,.,.,.,.,.,.,4932,5049,5042,5020,4994,4965,4939,4907,4872,4839,4808,4777,4743,4829,4931,5044
"Kaikki äidinkielet","091 102 Ullanlinnan peruspiiri","Väestö yhteensä",.,.,.,.,.,.,.,.,.,24636,24732,24963,24858,24677,24465,24251,24000,23734,23470,23798,24415,25098,25761,26332,26946
"Kaikki äidinkielet","091 30 Kaartinkaupunki","Väestö yhteensä",.,.,.,.,.,.,.,.,.,1061,1152,1157,1149,1138,1127,1115,1101,1088,1075,1063,1051,1039,1026,1014,1001
"Kaikki äidinkielet","091 50 Punavuori","Väestö yhteensä",.,.,.,.,.,.,.,.,.,9267,9350,9611,9590,9523,9444,9360,9261,9154,9050,8951,8851,8748,8649,8554,8459
"Kaikki äidinkielet","091 60 Eira","Väestö yhteensä",.,.,.,.,.,.,.,.,.,1083,1080,1076,1072,1066,1058,1051,1043,1034,1025,1018,1010,1002,995,988,982
"Kaikki äidinkielet","091 70 Ullanlinna","Väestö yhteensä",.,.,.,.,.,.,.,.,.,10893,10824,10766,10697,10607,10503,10399,10279,10154,10028,9906,9782,9651,9523,9394,9263
"Kaikki äidinkielet","091 90 Kaivopuisto","Väestö yhteensä",.,.,.,.,.,.,.,.,.,465,463,493,496,495,494,494,493,491,490,489,489,488,487,487,487
"Kaikki äidinkielet","091 204 Hernesaari","Väestö yhteensä",.,.,.,.,.,.,.,.,.,1181,1180,1178,1175,1170,1164,1157,1149,1140,1131,1700,2561,3498,4408,5222,6081
"Kaikki äidinkielet","091 520 Suomenlinna","Väestö yhteensä",.,.,.,.,.,.,.,.,.,686,683,681,680,678,676,675,673,672,671,671,671,671,672,673,674
"Kaikki äidinkielet","091 531 Länsisaaret","Väestö yhteensä",.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Kaikki äidinkielet","091 103 Kampinmalmin peruspiiri","Väestö yhteensä",.,.,.,.,.,.,.,.,.,43738,44091,44824,45716,46608,47072,48199,48960,49084,49202,49242,49175,48913,48634,48346,48035
"Kaikki äidinkielet","091 40 Kamppi","Väestö yhteensä",.,.,.,.,.,.,.,.,.,12168,12200,12416,12373,12281,12176,12066,11937,11799,11666,11541,11414,11284,11159,11038,10919
"Kaikki äidinkielet","091 130 Etu-Töölö","Väestö yhteensä",.,.,.,.,.,.,.,.,.,14528,14439,14366,14281,14173,14049,13930,13796,13656,13523,13400,13272,13139,13012,12888,12762
"Kaikki äidinkielet","091 201 Ruoholahti","Väestö yhteensä",.,.,.,.,.,.,.,.,.,2852,2851,2854,2857,2858,2856,2857,2853,2849,2844,2841,2978,2990,2990,2989,2986
"Kaikki äidinkielet","091 202 Lapinlahti","Väestö yhteensä",.,.,.,.,.,.,.,.,.,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24
"Kaikki äidinkielet","091 203 Jätkäsaari","Väestö yhteensä",.,.,.,.,.,.,.,.,.,14165,14577,15163,16180,17271,17967,19323,20350,20756,21145,21437,21487,21476,21450,21407,21344
"Kaikki äidinkielet","091 104 Taka-Töölön peruspiiri","Väestö yhteensä",.,.,.,.,.,.,.,.,.,15253,15479,15552,15655,15879,15918,15982,16156,16163,16162,16161,16153,16054,15947,15838,15724
"Kaikki äidinkielet","091 140 Taka-Töölö","Väestö yhteensä",.,.,.,.,.,.,.,.,.,15253,15479,15552,15655,15879,15918,15982,16156,16163,16162,16161,16153,16054,15947,15838,15724
"Kaikki äidinkielet","091 105 Lauttasaaren peruspiiri","Väestö yhteensä",.,.,.,.,.,.,.,.,.,24736,24800,24863,25110,25064,25022,24978,25323,25942,26693,27311,27966,28732,29526,30176,30367
"Kaikki äidinkielet","091 310 Lauttasaari (Ent.)","Väestö yhteensä",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Kaikki äidinkielet","091 311 Kotkavuori","Väestö yhteensä",.,.,.,.,.,.,.,.,.,8383,8428,8505,8590,8575,8541,8504,8453,8393,8330,8271,8208,8139,8073,8009,7941
"Kaikki äidinkielet","091 312 Vattuniemi","Väestö yhteensä",.,.,.,.,.,.,.,.,.,8766,8810,8812,8964,8964,8994,9023,9262,9624,10003,10237,10241,10562,10938,11337,11358
"Kaikki äidinkielet","091 313 Myllykallio","Väestö yhteensä",.,.,.,.,.,.,.,.,.,7587,7562,7547,7556,7525,7487,7451,7404,7354,7304,7255,7205,7149,7096,7045,7213
"Kaikki äidinkielet","091 314 Koivusaari","Väestö yhteensä",.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,204,571,1055,1548,2312,2882,3419,3785,3854
"Kaikki äidinkielet","091 2 Läntinen suurpiiri","Väestö yhteensä",.,.,.,.,.,.,.,.,.,112045,112379,112782,113619,114919,116135,117513,118527,119555,120277,120763,120968,121154,121666,122581,123829
"Kaikki äidinkielet","091 201 Reijolan peruspiiri","Väestö yhteensä",.,.,.,.,.,.,.,.,.,16767,16888,16889,16967,17205,17265,17754,18292,18677,18625,18536,18442,18333,18229,18129,18023
"Kaikki äidinkielet","091 150 Meilahti","Väestö yhteensä",.,.,.,.,.,.,.,.,.,5054,5218,5305,5306,5293,5274,5576,5590,5568,5548,5530,5509,5482,5456,5431,5404
"Kaikki äidinkielet","091 160 Ruskeasuo (Ent.)","Väestö yhteensä",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Kaikki äidinkielet","091 161 Vanha Ruskeasuo","Väestö yhteensä",.,.,.,.,.,.,.,.,.,2888,2860,2836,2981,2975,2949,2926,2899,2871,2846,2823,2801,2778,2758,2740,2722
"Kaikki äidinkielet","091 162 Pikku Huopalahti","Väestö yhteensä",.,.,.,.,.,.,.,.,.,6852,6848,6797,6741,7015,7138,7365,7935,8392,8405,8377,8345,8307,8271,8234,8195
"Kaikki äidinkielet","091 180 Laakso","Väestö yhteensä",.,.,.,.,.,.,.,.,.,1973,1962,1951,1938,1922,1905,1887,1867,1846,1826,1806,1786,1765,1744,1724,1703
"Kaikki äidinkielet","091 202 Munkkiniemen peruspiiri","Väestö yhteensä",.,.,.,.,.,.,.,.,.,18844,18778,19121,19207,19123,19176,19248,19299,19522,19948,20408,20522,20506,20401,20291,20176
"Kaikki äidinkielet","091 301 Vanha Munkkiniemi","Väestö yhteensä",.,.,.,.,.,.,.,.,.,9212,9238,9198,9137,9068,8994,8930,8857,8784,8713,8820,8947,8985,8931,8870,8806
"Kaikki äidinkielet","091 302 Kuusisaari","Väestö yhteensä",.,.,.,.,.,.,.,.,.,575,567,559,550,541,531,523,515,507,499,492,486,480,475,470,465
"Kaikki äidinkielet","091 303 Lehtisaari","Väestö yhteensä",.,.,.,.,.,.,.,.,.,1199,1192,1310,1346,1379,1462,1469,1466,1462,1458,1455,1451,1446,1442,1437,1432
"Kaikki äidinkielet","091 304 Munkkivuori","Väestö yhteensä",.,.,.,.,.,.,.,.,.,4958,4918,4885,4850,4809,4765,4902,5054,5206,5361,5346,5311,5273,5237,5204,5171
"Kaikki äidinkielet","091 305 Niemenmäki","Väestö yhteensä",.,.,.,.,.,.,.,.,.,1829,1807,2030,2187,2205,2318,2334,2334,2507,2876,3269,3319,3329,3337,3344,3349
"Kaikki äidinkielet","091 306 Talinranta","Väestö yhteensä",.,.,.,.,.,.,.,.,.,1071,1057,1139,1137,1122,1105,1089,1073,1057,1041,1026,1009,993,979,966,953
"Kaikki äidinkielet","091 203 Haagan peruspiiri","Väestö yhteensä",.,.,.,.,.,.,.,.,.,27612,27457,27410,27540,27576,27761,27645,27457,27609,27597,27584,27840,28363,29129,29939,31173
"Kaikki äidinkielet","091 291 Etelä-Haaga","Väestö yhteensä",.,.,.,.,.,.,.,.,.,12681,12624,12650,12762,12882,13042,13004,12925,13105,13049,12968,13142,13420,13628,14166,14891
"Kaikki äidinkielet","091 292 Kivihaka","Väestö yhteensä",.,.,.,.,.,.,.,.,.,859,859,859,859,856,852,848,843,836,829,821,814,806,798,790,781
"Kaikki äidinkielet","091 293 Pohjois-Haaga","Väestö yhteensä",.,.,.,.,.,.,.,.,.,9439,9369,9318,9263,9198,9127,9065,8993,8918,8904,8999,8950,8876,8937,9017,9115
"Kaikki äidinkielet","091 294 Lassila","Väestö yhteensä",.,.,.,.,.,.,.,.,.,4633,4604,4583,4657,4640,4740,4728,4697,4751,4815,4795,4934,5260,5765,5966,6385
"Kaikki äidinkielet","091 204 Pitäjänmäen peruspiiri","Väestö yhteensä",.,.,.,.,.,.,.,.,.,18322,18379,18381,18509,18805,19123,19478,19780,20017,20016,20032,20039,20033,20116,20465,20727
"Kaikki äidinkielet","091 320 Konala","Väestö yhteensä",.,.,.,.,.,.,.,.,.,6536,6503,6519,6669,6833,6906,6986,7172,7152,7107,7065,7020,6972,6925,6876,6824
"Kaikki äidinkielet","091 461 Pajamäki","Väestö yhteensä",.,.,.,.,.,.,.,.,.,1855,1850,1846,1842,1835,1826,1818,1807,1795,1783,1771,1758,1744,1730,1715,1699
"Kaikki äidinkielet","091 462 Tali","Väestö yhteensä",.,.,.,.,.,.,.,.,.,968,967,967,966,964,960,956,951,944,939,933,928,922,916,911,905
"Kaikki äidinkielet","091 463 Reimarla","Väestö yhteensä",.,.,.,.,.,.,.,.,.,4826,4867,4852,4840,4864,4839,4812,4778,4745,4713,4685,4656,4625,4596,4569,4541
"Kaikki äidinkielet","091 464 Marttila","Väestö yhteensä",.,.,.,.,.,.,.,.,.,310,304,298,292,287,281,276,271,265,261,256,253,248,243,238,233
"Kaikki äidinkielet","091 465 Pitäjänmäen yritysalue","Väestö yhteensä",.,.,.,.,.,.,.,.,.,3827,3888,3898,3900,4022,4310,4630,4801,5116,5213,5322,5425,5522,5706,6157,6525
"Kaikki äidinkielet","091 205 Kaarelan peruspiiri","Väestö yhteensä",.,.,.,.,.,.,.,.,.,30500,30877,30981,31396,32210,32810,33388,33700,33729,34091,34202,34124,33920,33791,33756,33729
