,Year,Variable,Value
0,2015,Eteläinen,106935.0
1,2016,Eteläinen,108770.0
2,2017,Eteläinen,109874.0
3,2018,Eteläinen,112100.0
4,2019,Eteläinen,113277.0
5,2020,Eteläinen,115427.0
6,2021,Eteläinen,117105.0
7,2022,Eteläinen,118588.0
8,2023,Eteläinen,123055.0
9,2024,Eteläinen,124110.0
10,2025,Eteläinen,124900.0
11,2026,Eteläinen,125037.0
12,2027,Eteläinen,125863.0
13,2028,Eteläinen,126769.0
14,2029,Eteläinen,127123.0
15,2030,Eteläinen,127600.0
16,2031,Eteläinen,128465.0
17,2032,Eteläinen,129540.0
18,2033,Eteläinen,130502.0
19,2034,Eteläinen,131567.0
20,2035,Eteläinen,132410.0
21,2036,Eteläinen,132813.0
22,2015,CI11,106935.0
23,2016,CI11,108770.0
24,2017,CI11,109874.0
25,2018,CI11,112100.0
26,2019,CI11,113277.0
27,2020,CI11,115427.0
28,2021,CI11,117105.0
29,2022,CI11,118588.0
30,2023,CI11,123055.0
31,2024,CI11,120738.42556011824
32,2025,CI11,120131.87370056876
33,2026,CI11,119197.26176862424
34,2027,CI11,119119.8511202365
35,2028,CI11,119229.93036122364
36,2029,CI11,118864.36299247971
37,2030,CI11,118679.652505331
38,2031,CI11,118928.74740113752
39,2032,CI11,119425.27668035474
40,2033,CI11,119840.14546916724
41,2034,CI11,120384.75263015956
42,2035,CI11,120730.52353724846
43,2036,CI11,120656.61547796256
44,2015,CI12,106935.0
45,2016,CI12,108770.0
46,2017,CI12,109874.0
47,2018,CI12,112100.0
48,2019,CI12,113277.0
49,2020,CI12,115427.0
50,2021,CI12,117105.0
51,2022,CI12,118588.0
52,2023,CI12,123055.0
53,2024,CI12,127481.57443988176
54,2025,CI12,129668.12629943124
55,2026,CI12,130876.73823137576
56,2027,CI12,132606.1488797635
57,2028,CI12,134308.06963877636
58,2029,CI12,135381.6370075203
59,2030,CI12,136520.347494669
60,2031,CI12,138001.25259886248
61,2032,CI12,139654.72331964524
62,2033,CI12,141163.8545308328
63,2034,CI12,142749.24736984045
64,2035,CI12,144089.47646275154
65,2036,CI12,144969.38452203744
66,2015,Läntinen,103606.0
67,2016,Läntinen,103396.0
68,2017,Läntinen,103209.0
69,2018,Läntinen,103413.0
70,2019,Läntinen,104669.0
71,2020,Läntinen,104753.0
72,2021,Läntinen,104976.0
73,2022,Läntinen,105484.0
74,2023,Läntinen,112782.0
75,2024,Läntinen,113619.0
76,2025,Läntinen,114919.0
77,2026,Läntinen,116135.0
78,2027,Läntinen,117513.0
79,2028,Läntinen,118527.0
80,2029,Läntinen,119555.0
81,2030,Läntinen,120277.0
82,2031,Läntinen,120763.0
83,2032,Läntinen,120968.0
84,2033,Läntinen,121154.0
85,2034,Läntinen,121666.0
86,2035,Läntinen,122581.0
87,2036,Läntinen,123829.0
88,2015,CI23,103606.0
89,2016,CI23,103396.0
90,2017,CI23,103209.0
91,2018,CI23,103413.0
92,2019,CI23,104669.0
93,2020,CI23,104753.0
94,2021,CI23,104976.0
95,2022,CI23,105484.0
96,2023,CI23,112782.0
97,2024,CI23,111672.38058920432
98,2025,CI23,112166.06442847404
99,2026,CI23,112763.3562775021
100,2027,CI23,113619.76117840863
101,2028,CI23,114174.22667114028
102,2029,CI23,114786.77572015335
103,2030,CI23,115126.72914174356
104,2031,CI23,115257.12885694808
105,2032,CI23,115128.14176761298
106,2033,CI23,114998.2489243907
107,2034,CI23,115209.79380476804
108,2035,CI23,115837.7125550042
109,2036,CI23,116810.3639005627
110,2015,CI24,103606.0
111,2016,CI24,103396.0
112,2017,CI24,103209.0
113,2018,CI24,103413.0
114,2019,CI24,104669.0
115,2020,CI24,104753.0
116,2021,CI24,104976.0
117,2022,CI24,105484.0
118,2023,CI24,112782.0
119,2024,CI24,115565.61941079568
120,2025,CI24,117671.93557152596
121,2026,CI24,119506.6437224979
122,2027,CI24,121406.23882159137
123,2028,CI24,122879.77332885972
124,2029,CI24,124323.22427984665
125,2030,CI24,125427.27085825644
126,2031,CI24,126268.87114305192
127,2032,CI24,126807.85823238702
128,2033,CI24,127309.7510756093
129,2034,CI24,128122.20619523196
130,2035,CI24,129324.2874449958
131,2036,CI24,130847.6360994373
132,2015,Keskinen,86193.0
133,2016,Keskinen,87445.0
134,2017,Keskinen,88577.0
135,2018,Keskinen,90222.0
136,2019,Keskinen,91535.0
137,2020,Keskinen,92763.0
138,2021,Keskinen,94121.0
139,2022,Keskinen,95004.0
140,2023,Keskinen,103446.0
141,2024,Keskinen,106229.0
142,2025,Keskinen,109316.0
143,2026,Keskinen,111852.0
144,2027,Keskinen,113443.0
145,2028,Keskinen,115332.0
146,2029,Keskinen,117102.0
147,2030,Keskinen,118979.0
148,2031,Keskinen,121187.0
149,2032,Keskinen,123277.0
150,2033,Keskinen,125689.0
151,2034,Keskinen,127839.0
152,2035,Keskinen,129875.0
153,2036,Keskinen,131586.0
154,2015,CI35,86193.0
155,2016,CI35,87445.0
156,2017,CI35,88577.0
157,2018,CI35,90222.0
158,2019,CI35,91535.0
159,2020,CI35,92763.0
160,2021,CI35,94121.0
161,2022,CI35,95004.0
162,2023,CI35,103446.0
163,2024,CI35,102846.12999746155
164,2025,CI35,104531.89936266503
165,2026,CI35,105992.69728020276
166,2027,CI35,106677.25999492312
167,2028,CI35,107767.67271527916
168,2029,CI35,108815.6946276132
169,2030,CI35,110028.76725562284
170,2031,CI35,111618.79872533008
171,2032,CI35,113128.38999238468
172,2033,CI35,114991.42576371894
173,2034,CI35,116619.28948703138
174,2035,CI35,118156.39456040552
175,2036,CI35,119388.88874761866
176,2015,CI36,86193.0
177,2016,CI36,87445.0
178,2017,CI36,88577.0
179,2018,CI36,90222.0
180,2019,CI36,91535.0
181,2020,CI36,92763.0
182,2021,CI36,94121.0
183,2022,CI36,95004.0
184,2023,CI36,103446.0
185,2024,CI36,109611.87000253845
186,2025,CI36,114100.10063733497
187,2026,CI36,117711.30271979724
188,2027,CI36,120208.74000507688
189,2028,CI36,122896.32728472084
190,2029,CI36,125388.3053723868
191,2030,CI36,127929.23274437716
192,2031,CI36,130755.20127466992
193,2032,CI36,133425.61000761532
194,2033,CI36,136386.57423628107
195,2034,CI36,139058.71051296862
196,2035,CI36,141593.60543959448
197,2036,CI36,143783.11125238135
198,2015,Pohjoinen,41398.0
199,2016,Pohjoinen,41244.0
200,2017,Pohjoinen,41371.0
201,2018,Pohjoinen,41178.0
202,2019,Pohjoinen,41022.0
203,2020,Pohjoinen,40791.0
204,2021,Pohjoinen,40507.0
205,2022,Pohjoinen,40222.0
206,2023,Pohjoinen,43658.0
207,2024,Pohjoinen,44032.0
208,2025,Pohjoinen,44467.0
209,2026,Pohjoinen,44584.0
210,2027,Pohjoinen,44391.0
211,2028,Pohjoinen,44244.0
212,2029,Pohjoinen,43990.0
213,2030,Pohjoinen,43807.0
214,2031,Pohjoinen,43548.0
215,2032,Pohjoinen,43581.0
216,2033,Pohjoinen,43639.0
217,2034,Pohjoinen,43725.0
218,2035,Pohjoinen,43912.0
219,2036,Pohjoinen,44260.0
220,2015,CI47,41398.0
221,2016,CI47,41244.0
222,2017,CI47,41371.0
223,2018,CI47,41178.0
224,2019,CI47,41022.0
225,2020,CI47,40791.0
226,2021,CI47,40507.0
227,2022,CI47,40222.0
228,2023,CI47,43658.0
229,2024,CI47,43390.64946757717
230,2025,CI47,43559.99337881243
231,2026,CI47,43473.14829238231
232,2027,CI47,43108.29893515434
233,2028,CI47,42809.89661209687
234,2029,CI47,42419.01844930175
235,2030,CI47,42110.14598799033
236,2031,CI47,41733.98675762486
237,2032,CI47,41656.94840273151
238,2033,CI47,41610.87153898219
239,2034,CI47,41597.88092485881
240,2035,CI47,41690.29658476462
241,2036,CI47,41947.57776980336
242,2015,CI48,41398.0
243,2016,CI48,41244.0
244,2017,CI48,41371.0
245,2018,CI48,41178.0
246,2019,CI48,41022.0
247,2020,CI48,40791.0
248,2021,CI48,40507.0
249,2022,CI48,40222.0
250,2023,CI48,43658.0
251,2024,CI48,44673.35053242283
252,2025,CI48,45374.00662118757
253,2026,CI48,45694.851707617694
254,2027,CI48,45673.701064845656
255,2028,CI48,45678.10338790313
256,2029,CI48,45560.98155069825
257,2030,CI48,45503.85401200967
258,2031,CI48,45362.01324237514
259,2032,CI48,45505.05159726849
260,2033,CI48,45667.12846101781
261,2034,CI48,45852.11907514119
262,2035,CI48,46133.70341523538
263,2036,CI48,46572.42223019664
264,2015,Koillinen,98301.0
265,2016,Koillinen,98599.0
266,2017,Koillinen,98914.0
267,2018,Koillinen,98911.0
268,2019,Koillinen,98547.0
269,2020,Koillinen,98003.0
270,2021,Koillinen,97263.0
271,2022,Koillinen,96368.0
272,2023,Koillinen,99946.0
273,2024,Koillinen,100182.0
274,2025,Koillinen,100158.0
275,2026,Koillinen,100930.0
276,2027,Koillinen,101905.0
277,2028,Koillinen,102873.0
278,2029,Koillinen,104142.0
279,2030,Koillinen,105199.0
280,2031,Koillinen,105866.0
281,2032,Koillinen,106843.0
282,2033,Koillinen,108109.0
283,2034,Koillinen,109548.0
284,2035,Koillinen,111087.0
285,2036,Koillinen,112964.0
286,2015,CI59,98301.0
287,2016,CI59,98599.0
288,2017,CI59,98914.0
289,2018,CI59,98911.0
290,2019,CI59,98547.0
291,2020,CI59,98003.0
292,2021,CI59,97263.0
293,2022,CI59,96368.0
294,2023,CI59,99946.0
295,2024,CI59,99508.42606617748
296,2025,CI59,99205.42260752716
297,2026,CI59,99763.33572396534
298,2027,CI59,100557.85213235494
299,2028,CI59,101366.84289610088
300,2029,CI59,102492.0875580956
301,2030,CI59,103416.89088149012
302,2031,CI59,103960.84521505436
303,2032,CI59,104822.2781985324
304,2033,CI59,105978.97219660127
305,2034,CI59,107314.00799294698
306,2035,CI59,108753.67144793068
307,2036,CI59,110535.39464378689
308,2015,CI510,98301.0
309,2016,CI510,98599.0
310,2017,CI510,98914.0
311,2018,CI510,98911.0
312,2019,CI510,98547.0
313,2020,CI510,98003.0
314,2021,CI510,97263.0
315,2022,CI510,96368.0
316,2023,CI510,99946.0
317,2024,CI510,100855.57393382252
318,2025,CI510,101110.57739247284
319,2026,CI510,102096.66427603466
320,2027,CI510,103252.14786764506
321,2028,CI510,104379.15710389912
322,2029,CI510,105791.9124419044
323,2030,CI510,106981.10911850988
324,2031,CI510,107771.15478494564
325,2032,CI510,108863.7218014676
326,2033,CI510,110239.02780339873
327,2034,CI510,111781.99200705302
328,2035,CI510,113420.32855206932
329,2036,CI510,115392.60535621311
330,2015,Kaakkoinen,48567.0
331,2016,Kaakkoinen,49699.0
332,2017,Kaakkoinen,51220.0
333,2018,Kaakkoinen,52280.0
334,2019,Kaakkoinen,53985.0
335,2020,Kaakkoinen,55927.0
336,2021,Kaakkoinen,57884.0
337,2022,Kaakkoinen,59009.0
338,2023,Kaakkoinen,57701.0
339,2024,Kaakkoinen,58816.0
340,2025,Kaakkoinen,59585.0
341,2026,Kaakkoinen,61163.0
342,2027,Kaakkoinen,62581.0
343,2028,Kaakkoinen,64139.0
344,2029,Kaakkoinen,65824.0
345,2030,Kaakkoinen,67380.0
346,2031,Kaakkoinen,68407.0
347,2032,Kaakkoinen,69125.0
348,2033,Kaakkoinen,69433.0
349,2034,Kaakkoinen,69939.0
350,2035,Kaakkoinen,70614.0
351,2036,Kaakkoinen,71429.0
352,2015,CI611,48567.0
353,2016,CI611,49699.0
354,2017,CI611,51220.0
355,2018,CI611,52280.0
