,Year,Itäinen,Itäinen_Low_CI,Itäinen_High_CI
0,2015,107480,107480.0,107480.0
1,2016,108996,108996.0,108996.0
2,2017,110643,110643.0,110643.0
3,2018,111339,111339.0,111339.0
4,2019,111876,111876.0,111876.0
5,2020,112578,112578.0,112578.0
6,2021,113153,113153.0,113153.0
7,2022,113947,113947.0,113947.0
8,2023,114283,114283.0,114283.0
9,2024,114876,113398.97844653964,116353.02155346036
10,2025,115503,113414.17608717896,117591.82391282104
11,2026,116134,113575.72362553234,118692.27637446766
12,2027,116931,113976.95689307927,119885.04310692073
13,2028,117531,114228.27940223028,120833.72059776972
14,2029,118430,114812.05085492916,122047.94914507084
15,2030,119601,115693.1682884616,123508.8317115384
16,2031,121253,117075.35217435796,125430.64782564204
17,2032,122825,118393.93533961893,127256.06466038107
18,2033,124253,119582.2477379051,128923.7522620949
19,2034,125060,120161.27369990412,129958.72630009588
20,2035,125385,120268.44725106467,130501.55274893533
21,2036,125467,120141.52305403318,130792.47694596682
