,Year,Keskinen,Keskinen_Low_CI,Keskinen_High_CI
0,2015,86193,86193.0,86193.0
1,2016,87445,87445.0,87445.0
2,2017,88577,88577.0,88577.0
3,2018,90222,90222.0,90222.0
4,2019,91535,91535.0,91535.0
5,2020,92763,92763.0,92763.0
6,2021,94121,94121.0,94121.0
7,2022,95004,95004.0,95004.0
8,2023,103446,103446.0,103446.0
9,2024,106229,102846.12999746155,109611.87000253845
10,2025,109316,104531.89936266503,114100.10063733497
11,2026,111852,105992.69728020276,117711.30271979724
12,2027,113443,106677.25999492312,120208.74000507688
13,2028,115332,107767.67271527916,122896.32728472084
14,2029,117102,108815.6946276132,125388.3053723868
15,2030,118979,110028.76725562284,127929.23274437716
16,2031,121187,111618.79872533008,130755.20127466992
17,2032,123277,113128.38999238468,133425.61000761532
18,2033,125689,114991.42576371894,136386.57423628107
19,2034,127839,116619.28948703138,139058.71051296862
20,2035,129875,118156.39456040552,141593.60543959448
21,2036,131586,119388.88874761866,143783.11125238135
