,Year,Pohjoinen,Pohjoinen_Low_CI,Pohjoinen_High_CI
0,2015,41398,41398.0,41398.0
1,2016,41244,41244.0,41244.0
2,2017,41371,41371.0,41371.0
3,2018,41178,41178.0,41178.0
4,2019,41022,41022.0,41022.0
5,2020,40791,40791.0,40791.0
6,2021,40507,40507.0,40507.0
7,2022,40222,40222.0,40222.0
8,2023,43658,43658.0,43658.0
9,2024,44032,43390.64946757717,44673.35053242283
10,2025,44467,43559.99337881243,45374.00662118757
11,2026,44584,43473.14829238231,45694.851707617694
12,2027,44391,43108.29893515434,45673.701064845656
13,2028,44244,42809.89661209687,45678.10338790313
14,2029,43990,42419.01844930175,45560.98155069825
15,2030,43807,42110.14598799033,45503.85401200967
16,2031,43548,41733.98675762486,45362.01324237514
17,2032,43581,41656.94840273151,45505.05159726849
18,2033,43639,41610.87153898219,45667.12846101781
19,2034,43725,41597.88092485881,45852.11907514119
20,2035,43912,41690.29658476462,46133.70341523538
21,2036,44260,41947.57776980336,46572.42223019664
