,Koillinen,Koillinen_Low_CI,Koillinen_High_CI
2015,98301,98301.0,98301.0
2016,98599,98599.0,98599.0
2017,98914,98914.0,98914.0
2018,98911,98911.0,98911.0
2019,98547,98547.0,98547.0
2020,98003,98003.0,98003.0
2021,97263,97263.0,97263.0
2022,96368,96368.0,96368.0
2023,99946,99946.0,99946.0
2024,100182,99508.42606617748,100855.57393382252
2025,100158,99205.42260752717,101110.57739247283
2026,100930,99763.33572396534,102096.66427603466
2027,101905,100557.85213235494,103252.14786764506
2028,102873,101366.84289610088,104379.15710389912
2029,104142,102492.08755809559,105791.91244190441
2030,105199,103416.89088149011,106981.10911850989
2031,105866,103960.84521505436,107771.15478494564
2032,106843,104822.27819853241,108863.72180146759
2033,108109,105978.97219660127,110239.02780339873
2034,109548,107314.00799294698,111781.99200705302
2035,111087,108753.67144793068,113420.32855206932
2036,112964,110535.39464378687,115392.60535621313
