,Läntinen,Läntinen_Low_CI,Läntinen_High_CI
2015,103606,103606.0,103606.0
2016,103396,103396.0,103396.0
2017,103209,103209.0,103209.0
2018,103413,103413.0,103413.0
2019,104669,104669.0,104669.0
2020,104753,104753.0,104753.0
2021,104976,104976.0,104976.0
2022,105484,105484.0,105484.0
2023,112782,112782.0,112782.0
2024,113619,111672.38058920433,115565.61941079567
2025,114919,112166.06442847404,117671.93557152596
2026,116135,112763.3562775021,119506.6437224979
2027,117513,113619.76117840865,121406.23882159135
2028,118527,114174.22667114029,122879.77332885971
2029,119555,114786.77572015337,124323.22427984663
2030,120277,115126.72914174356,125427.27085825644
2031,120763,115257.12885694807,126268.87114305193
2032,120968,115128.14176761298,126807.85823238702
2033,121154,114998.2489243907,127309.7510756093
2034,121666,115209.79380476805,128122.20619523195
2035,122581,115837.7125550042,129324.2874449958
2036,123829,116810.3639005627,130847.6360994373
