,Pohjoinen,Pohjoinen_Low_CI,Pohjoinen_High_CI
2015,41398,41398.0,41398.0
2016,41244,41244.0,41244.0
2017,41371,41371.0,41371.0
2018,41178,41178.0,41178.0
2019,41022,41022.0,41022.0
2020,40791,40791.0,40791.0
2021,40507,40507.0,40507.0
2022,40222,40222.0,40222.0
2023,43658,43658.0,43658.0
2024,44032,43390.64946757717,44673.35053242283
2025,44467,43559.99337881243,45374.00662118757
2026,44584,43473.148292382306,45694.851707617694
2027,44391,43108.298935154344,45673.701064845656
2028,44244,42809.89661209687,45678.10338790313
2029,43990,42419.01844930175,45560.98155069825
2030,43807,42110.14598799033,45503.85401200967
2031,43548,41733.98675762486,45362.01324237514
2032,43581,41656.94840273151,45505.05159726849
2033,43639,41610.87153898219,45667.12846101781
2034,43725,41597.88092485881,45852.11907514119
2035,43912,41690.29658476462,46133.70341523538
2036,44260,41947.577769803356,46572.422230196644
